gamma,template_blend_weight,method,train_rmse,train_violations,test_violations
1.5,1.0,smooth_0.3,28.030933316902534,0,0
0.8,1.0,smooth_0.3,28.030933316902534,0,0
0.6,1.0,smooth_0.3,28.030933316902534,0,0
1.2,1.0,smooth_0.3,28.030933316902534,0,0
2.0,1.0,smooth_0.3,28.030933316902534,0,0
1.0,1.0,smooth_0.3,28.030933316902534,0,0
0.8,1.0,smooth_0.1,28.034384441649483,0,0
1.5,1.0,smooth_0.1,28.034384441649483,0,0
0.6,1.0,smooth_0.1,28.034384441649483,0,0
2.0,1.0,smooth_0.1,28.034384441649483,0,0
1.2,1.0,smooth_0.1,28.034384441649483,0,0
1.0,1.0,smooth_0.1,28.034384441649483,0,0
1.5,1.0,isotonic,28.03701813598896,0,0
0.8,1.0,isotonic,28.03701813598896,0,0
1.2,1.0,isotonic,28.03701813598896,0,0
2.0,1.0,isotonic,28.03701813598896,0,0
0.6,1.0,isotonic,28.03701813598896,0,0
1.0,1.0,isotonic,28.03701813598896,0,0
0.6,0.5,smooth_30,28.048957347975676,0,0
2.0,1.0,none,28.059127337988876,227,69
1.5,1.0,none,28.059127337988876,227,69
1.2,1.0,none,28.059127337988876,227,69
1.0,1.0,none,28.059127337988876,227,69
0.8,1.0,none,28.059127337988876,227,69
0.6,1.0,none,28.059127337988876,227,69
0.6,0.5,smooth_10,28.066275539184744,0,0
0.6,0.5,smooth_3,28.08784349854104,0,0
0.6,0.5,smooth_1,28.100275541105965,0,0
0.6,0.5,smooth_0.3,28.10834263483899,0,0
0.6,0.5,smooth_0.1,28.112632782487907,0,0
0.6,0.5,isotonic,28.11658554154177,0,0
0.6,0.5,none,28.118880058608465,76,9
0.6,0.5,cummin,28.123056651721186,0,0
2.0,0.25,smooth_30,28.389576735795075,0,0
2.0,0.25,smooth_10,28.39073620760586,0,0
2.0,0.25,smooth_3,28.392048188622354,0,0
2.0,0.25,smooth_1,28.39294708761407,0,0
2.0,0.25,smooth_0.3,28.393306352932353,0,0
2.0,0.25,smooth_0.1,28.393482847628633,0,0
2.0,0.25,isotonic,28.39366760467003,0,0
0.6,0.25,smooth_30,28.394440305590596,0,0
2.0,0.25,none,28.39541928640149,13,2
2.0,0.25,cummin,28.414259981033105,0,0
0.6,0.25,smooth_10,28.423442532549412,0,0
0.6,0.25,smooth_3,28.46325594446505,0,0
0.6,0.25,smooth_1,28.48899901241955,0,0
0.6,0.25,smooth_0.3,28.506821272039886,0,0
0.6,0.25,smooth_0.1,28.516606715271667,0,0
0.6,0.25,isotonic,28.525768004022122,0,0
0.6,0.25,none,28.526000310468522,15,0
0.6,0.25,cummin,28.5271086198518,0,0
0.6,0.0,smooth_30,28.933118280046962,0,0
0.6,0.0,smooth_10,28.982720499662953,0,0
0.6,0.0,smooth_3,29.054100905462533,0,0
0.6,0.0,smooth_1,29.102461056126067,0,0
0.6,0.0,smooth_0.3,29.136539102561073,0,0
0.6,0.0,smooth_0.1,29.155236390124546,0,0
0.6,0.0,cummin,29.172748026024934,0,0
0.6,0.0,none,29.172748026024934,0,0
0.6,0.0,isotonic,29.172748026024934,0,0
2.0,0.0,smooth_30,30.66579343643554,0,0
2.0,0.0,smooth_10,30.66625140860178,0,0
2.0,0.0,smooth_3,30.6667398043805,0,0
2.0,0.0,smooth_1,30.66695487040027,0,0
2.0,0.0,smooth_0.3,30.66706827158017,0,0
2.0,0.0,smooth_0.1,30.667131393352626,0,0
2.0,0.0,isotonic,30.667210637979053,0,0
2.0,0.0,cummin,30.667210637979053,0,0
2.0,0.0,none,30.667210637979053,0,0
